               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.069057,            0.060001,           0.0045757,             0.76014,             0.99844,             0.92133,             0.65344,            0.067537,            0.057649,            0.004117,           0.0017087,           0.0017087,           0.0017087
                  69,            0.069422,            0.058588,           0.0048666,             0.76979,             0.99296,             0.88642,             0.64457,            0.067217,             0.05697,           0.0043938,            0.001585,            0.001585,            0.001585
                  70,             0.06978,              0.0613,           0.0046038,             0.79549,             0.96729,             0.89851,             0.63681,            0.067014,            0.057144,           0.0039709,           0.0014612,           0.0014612,           0.0014612
                  71,            0.069896,            0.058626,           0.0047337,             0.79337,             0.97833,             0.89177,              0.6429,            0.066631,            0.057246,           0.0037521,           0.0013375,           0.0013375,           0.0013375
                  72,             0.06692,            0.059746,            0.004077,             0.77993,             0.93745,             0.88922,             0.63865,            0.066669,            0.057282,           0.0051103,           0.0012138,           0.0012138,           0.0012138
                  73,            0.068302,            0.059008,           0.0043254,             0.78402,             0.96745,             0.91859,             0.64453,            0.066905,            0.058263,             0.00412,             0.00109,             0.00109,             0.00109
                  74,            0.068154,            0.057876,           0.0041062,             0.76684,             0.99771,             0.88765,              0.6398,            0.066462,            0.057552,           0.0046349,          0.00096625,          0.00096625,          0.00096625
                  75,            0.068124,            0.058533,           0.0043632,             0.78839,             0.95424,             0.88928,             0.64739,            0.067138,            0.057037,           0.0045294,           0.0008425,           0.0008425,           0.0008425
                  76,            0.067494,            0.058573,           0.0045381,             0.75115,             0.97966,             0.88772,             0.63752,            0.066457,            0.056897,           0.0050197,          0.00071875,          0.00071875,          0.00071875
                  77,            0.068593,            0.059064,           0.0042203,             0.76419,             0.98664,             0.88949,              0.6376,            0.066641,             0.05694,           0.0045366,            0.000595,            0.000595,            0.000595
                  78,            0.068367,             0.05568,           0.0041494,             0.79909,             0.95836,              0.8984,             0.64202,            0.066586,            0.057295,           0.0038636,          0.00047125,          0.00047125,          0.00047125
                  79,            0.067999,            0.057638,           0.0043718,             0.78135,             0.97842,             0.89071,             0.64701,            0.066502,            0.057278,           0.0042064,           0.0003475,           0.0003475,           0.0003475
